Kürzel;Beschreibung;wird gesetzt von:
DLN;DL-Stichprobe negatives Ergebnis;AB/FB
DLSR;DL-Stichprobe realisiert;AB/FB
DLSP;DL-Stichprobe vorgesehen;AB/FB
ADS;FKZ der Durchführbarkeitsstudie;PA
ABLWT;techn. Ablehnung Widerspruch Ablehnungsbescheid ;FB
ABLWK;kaufm. Ablehnung Widerspruch Ablehnungsbescheid;AB
ABLWH;Widerspruchsbescheid geprüft durch HH-Beauftragten;QS
AADP;Auftrag an Dritte positiv;AB/FB
AR;Antrag mit Risiko;AB/FB
AVU;VerbundUmsatz laut Anlage 1;AB
AVB;VerbundBilanz laut Anlage 1;AB
AUF1;Erste Aufstockung;PA
AUF2;Zweite Aufstockung;PA
WK;Wahlkreis beachten!;neutral
GK;kaufm. Bearbeitung ZA erfolgt;AB
GT;techn. Bearbeitung ZA erfolgt;FB
GSP;Stichprobe ZA vorgesehen;AB/FB
GSP+;Stichprobe positiv;AB/FB
GSP-;Stichprobe negativ;AB/FB
GSPM;Maßnahme erfolgt;AB/FB
GSTAT;unvollst. ZA Statistik;AB
ZBM1;erste Erinnerung Zwischenbericht;neutral
ZBM2;zweite Erinnerung Zwischenbericht;neutral
ZBM3;Mahnung Zwischenbericht;neutral
ZBE;Eingang Zwischenbericht;neutral
ZBN;Nachforderung/Rückfragen zum Zwischenbericht;AB/FB
ZBL;Nachlieferungen zum Zwischenbericht;neutral
ZBT;techn. Prüfung Zwischenbericht erledigt;FB
ZBK;kaufm. Prüfung Zwischenbericht erledigt;AB
ZBZ;Info an ZE über Prüfung ZB;AB/FB
ABRK;Brief Abbruchempfehlung kaufm.;AB
ABRT;Brief Abbruchempfehlung techn.;FB
ABRQ;Brief Abbruchempfehlung endlesen;QS
ABRZ;Brief Abbruchempfehlung an ZE;AB/FB/QS
ABRD;Anhörungsfrist Abbruchempfehlung;neutral
ABRW;Widerspruch ZE gegen Abbruchempfehlung;neutral
ABRWK;Brief zu Widerspruch kaufm. erstellt;AB
ABRWT;Brief zu Widerspruch techn. erstellt;FB
VOBP;Vor-Ort-Besuch geplant;AB/FB/QS
VOBA;Vor-Ort-Besuch angekündigt;AB/FB/QS
VOBB;Termin VOB bestätigt;AB/FB/QS
VOBT;"Termin des VOB (Anlass; Uhrzeit/Dauer; AB/FB; dig/präs)";AB/FB/QS
VOBV;VOB-Bericht vorbereitet/angelegt;PA
VOBR;Vor-Ort-Besuch realisiert;AB/FB/QS
VOBN;Nachforderung/Rückfragen zum VOB;AB/FB/QS
VOBL;Nachlieferung zum VOB;neutral
VOBF;VOB-Bericht fertiggestellt;AB/FB
VOBQ;VOB-Bericht Qualitätssicherung;QS
VOBZ;Zensierung des Vor-Ort-Besuchs;AB/FB/QS
VOBDB;VOB-Bericht in DB;AB/FB/QS
VQT;VN-Qualitätssicherung fachl.;FB/QS
TOP;erfolgreiches Beispiel;AB/FB
FLOP;schlechtes Beispiel;AB/FB
IWS;Informationsworkshop;neutral
YPM;Pressemitteilung:;neutral
AK;ausländischer Koordinator:;AB/FB
WIN;Wechsel int/nat;neutral
NWZV;Hinweis auf NW Zusatzverträge;PA
NWSP;Netzwerksprecher;neutral
NWKB;Netzwerkkurzbeschreibung freigegeben;neutral
INFOB;Infobrief an NWP;neutral
SAAE;Eingang Skizze;PA
SKUR;Skizzentitel:;PA
SART;"INM; INF; iINM; iINF";PA
SDE;Eingangsbestätigung Skizze an Ast;PA
SDTB;Technischer Bearbeiter;QS
ST4;Skizzenbewertung fertig;FB
ASÜ;Überarbeitungshinweis: nicht im Format des Skizzenformulars;FB
ASB;Befürwortung Skizze an Ast;FB
ASV;Befürwortung Skizze unter Vorbehalt;FB
ASA;Ablehnung Skizze an Ast;FB
SANT;Zur Skizze ist ein Antrag eingegangen;PA
NWB;Netzwerkbesuch (Bemerkung/Grund);AB/FB/QS
AUFD;Termin Auflagen;AB/FB
AUFE;Eingang zu Auflagen;neutral
AUFN;Nachforderung zu Auflagen;AB/FB
AUFL;Nachlieferung zu Auflagen;neutral
AUFZ;Auflage erfüllt, Info an ZE;AB/FB/QS
ZBD;Termin Zwischenbericht;neutral
LBD1;Termin Leistungsbestätigung 1;neutral
LBD2;Termin Leistungsbestätigung 2;neutral
LBD3;Termin Leistungsbestätigung 3;neutral
LBE1;Eingang Leistungsbestätigung 1;neutral
LBE2;Eingang Leistungsbestätigung 2;neutral
LBE3;Eingang Leistungsbestätigung 3;neutral
LBN;Nachforderung/Rückfragen Leistungsbestätigung;AB
LBL;Nachlieferung Leistungsbestätigung;neutral
LBK1;Leistungsbestätigung 1 kaufm. geprüft;AB
LBK2;Leistungsbestätigung 2 kaufm. geprüft;AB
LBK3;Leistungsbestätigung 3 kaufm. geprüft;AB
BAKE;Eingang Bestätigung ausl. Koordinator;neutral
BAKT;Bestätigung ausl. Koordinator fachl. geprüft;FB
BAKK;Bestätigung ausl. Koordinator kaufm. geprüft;AB
ZVE;Eingang Zusatzvertrag;neutral
ZVN;Nachforderung zum Zusatzvertrag;AB/FB
ZVL;Nachlieferung zum Zusatzvertrag;neutral
ZVT;"Beurteilung durch TB erfolgt; an PL";FB
ZVQ;QS der Entscheidung ;QS
ZVZ;Entscheidung an ZE per E-Mail;neutral
IFAQ;anzumeldene Forderung und Zinsen geprüft;AB
DFE;Verdacht auf Doppelförderung;AB/FB/QS
DFA;Verdacht nach Korrektur der Daten aufgehoben;AB/FB/QS
DFB;Anhörung zur DoF muss erstellt werden;AB/FB/QS
DFEXT;Abwicklung Doppelförderung anderer PT;AB/FB/QS
DFINT;Abwicklung Doppelförderung VDIVDE;AB/FB/QS
DFU;Vorgang Doppelförderung beendet;AB/FB/QS
AUFM;Mahnung von Auflagen;AB/FB
LBM1;Erinnerung Leistungsbestätigung;neutral
LBM2;Mahnung Leistungsbestätigung;neutral
ABRWJ2;erweiterte Anhörung zum Widerruf QS juristisch erfolgt;Juristen
PBP;Projekt-Besuch geplant/gewünscht;AB/FB
PBT;Termin für Projekt-Besuch;AB/FB
PBR;Projekt-Besuch realisiert;AB/FB
PBQ;Projekt-Besuch-Bericht QS;QS
PBU;Unstimmigkeiten beim Projekt-Besuch;AB/FB
PBDB;Vermerk in Datenbank (inkl. Unterschrift durch QS);QS
PBF;Protokoll Netzwerkbesuch fertiggestellt;AB/FB
VQT-;VN zurück an FB;QS
P2KA;kein Antrag auf Phase 2;AB/FB
P2M;Mahnung Antrag Phase 2;AB/FB
P2P;Pause beantragt Phase 2;AB/FB
P2B;Plan Beginn Phase 2;AB/FB
P2E;Eingang Antrag Phase 2;PA
P2+;NW besteht weiter;AB/FB
P2-;NW gescheitert;AB/FB
LW;Widerspruch Laufzeitänderung;neutral
LAW;Widerspruch Ablehnung Laufzeit;neutral
LAWA;negativer Widerspruchsbescheid;neutral
LAWZ;positiver Widerspruchsbescheid;neutral
MVW;Widerspruch Mittelverschiebung;neutral
MVAW;Widerspruch Ablehnung Mittelverschiebung;neutral
MVAWA;negativer Widerspruchsbescheid;neutral
MVAWZ;positiver Widerspruchsbescheid;neutral
LBM3;Mahnung Leistungsbestätigung;neutral
VBM3;Mahnung VN-Sach;neutral
VZM3;Mahnung VN-Zahl;neutral
WRH;Widerrufsbescheid geprüft durch PL;QS
WRZG+;Freigabe durch BMWK;PA
XYB;Brief:;neutral
XYE;E-Mail:;neutral
XYFO;Eingang Foyer;neutral
XYF;Fax:;neutral
XYG;Beratungsgespräch:;neutral
XYW;Wichtig:;neutral
XYPM;Pressemitteilung:;neutral
XPV;Projekt vorgestellt;neutral
XCOV;thematisch COVID19;neutral
XSW;Skizze00x Phase 1/2 oder Wiedereinreicher TB/BB;PA
XRN+;regulärer NWP am Projekt beteiligt;FB/QS/PA
XRN-;kein regulärer NWP am Projekt beteiligt;FB/QS/PA
XTE;alle Anträge eingegangen;PA
XTEC;alle Anträge in C16 eingegeben;PA
XAT;Anzahl der erwarteten Teilvorhaben;PA
XAT+;Anzahl der Teilvorhaben (inkl. assoziiert);PA
XANT;Termin Vollständigkeit Verbund;PA
XPC+;PreCheck positiv;AB/FB/QS
XPC?;PreCheck Nachforderung;AB/FB/QS
XPC-;PreCheck negativ;AB/FB/QS
XINNO;Innovationsgrad bei GA;QS
XALF;alle erforderlichen Nachforderungen sind fertig (AB/FB);AB/FB
XARF;alle erforderlichen Rücknahmeempfehlungen sind fertig (AB/FB);AB/FB
XQSW;Gutachten QS nach Widerspruch fertig;QS
XTG;voraussichtlicher Termin GA (technisch);FB
XFB;Bew. ausgesetzt - max. 2 Bew. in 12 Monaten;QS
XHSP;Bew. ausgesetzt - Haushaltssperre;QS
XBG;beispielhaftes Gutachten;AB/FB/QS
XSPDOK;Stichprobendokumente an ZG;neutral
XAZBF;alle Zuwendungsbecheide sind erstellt;AB/FB
XICN;internationaler Call Name;PA
XIAAE;Call Ende (internationale Projekte);PA
XIT1;Termin erste Tendenz an AiF;PA
XIAIF1;erste Tendenz an AiF gesendet;PA
XIT2;Termin finale Entscheidung an AiF;PA
XIAIF2;finale Entscheidung an AiF gesendet;PA
XIP;Bew. ausgesetzt - Förderentscheidung int. Partner ausstehend;PA
XIPA;ausl. Partner wird abgelehnt;AB/FB
XIPB;ausl. Partner wird bewilligt;AB/FB
XVU;Eingang unterschriebener Kooperationsvertrag;neutral
XVN;Nachforderung KoopVertrag;AB/FB
XVL;Nachlieferung KoopVertrag;neutral
XVT;unterschriebener Koop-Vertrag technisch geprüft;FB
XVK;unterschriebener Koop-Vertrag kaufmännisch geprüft;AB
XVZ;Auflagenerfüllung an ZE Koop-Vertrag;AB
XVE;Verbund beendet;neutral
XEFB1;Erfolgsbeispiel angefragt;QS
XEFB2;Erfolgsbeispiel bestätigt;QS
XEFB3;Erfolgsbeispiel verneint;QS
XEFB4;Erfolgsbeispiel in Arbeit;QS
XEFB5;Erfolgsbeispiel Freigabe BMWK angefragt;QS
XEFB6;"Erfolgsbeispiel veröffentlicht (JAHR; deutsch/englisch)";QS
XAAE;Eingang des Netzwerkantrages;PA
XABB;Bewilligungsdatum des Netzwerks;PA
FKTB;Fachkoordinator;neutral
YIRR;FuE / Akronym;PA
